woo_product_id,woo_variation_id,source_url,target_filename,validation_status,conversion_required,usage_type
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-03.jpeg,FOUND,False,variant_image
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-04.jpeg,FOUND,False,variant_image
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-05.jpeg,FOUND,False,variant_image
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-06.jpeg,FOUND,False,variant_image
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-07.jpeg,FOUND,False,variant_image
25,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-08.jpeg,FOUND,False,variant_image
25,909,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant.jpeg,FOUND,False,variant_image
25,910,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-02.jpeg,FOUND,False,variant_image
25,911,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-03.jpeg,FOUND,False,variant_image
25,912,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-04.jpeg,FOUND,False,variant_image
25,913,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-05.jpeg,FOUND,False,variant_image
25,914,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-06.jpeg,FOUND,False,variant_image
25,915,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-07.jpeg,FOUND,False,variant_image
25,916,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/C270E189-B9F4-487F-A6EA-4AF2FADF59DC.jpeg,variant-5958-sylvimak-oil-free-foundation-variant-08.jpeg,FOUND,False,variant_image
28,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Tm-Essential-Bronzed-By-Tm.jpg,product-846-tm-essential-bronzed-by-tm.jpg,FOUND,False,product_featured
34,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/khaki.jpg,product-762-beauty-by-ad-lip-gloss.jpg,FOUND,False,product_featured
35,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/belle.jpg,product-760-beauty-by-ad-lip-stain.jpg,FOUND,False,product_featured
