collision_type,path,entity_type,entity_id,title
colliding_new_url,/collections/serums-treatment,product_cat,164,Serums &amp; Treatment
colliding_new_url,/collections/serums-treatment,product_cat,742,Glow serum
colliding_new_url,/collections/serums-treatment,product_cat,743,Dark spots &amp; Discoloration serums
colliding_new_url,/collections/serums-treatment,product_cat,744,Eye cream
colliding_new_url,/collections/serums-treatment,product_cat,746,Glow spray
colliding_new_url,/collections/tools-accessories,product_cat,258,Tools &amp; Accessories
colliding_new_url,/collections/tools-accessories,product_cat,730,sponge
colliding_new_url,/collections/valentine-combo-deals,product_cat,806,VALENTINE COMBO DEALS
colliding_new_url,/collections/valentine-combo-deals,brand,809,VALENTINE COMBO DEALS
colliding_new_url,/collections/tradefair-combo-deals,product_cat,933,TRADEFAIR COMBO DEAL
colliding_new_url,/collections/tradefair-combo-deals,brand,934,TRADEFAIR COMBO DEALS
