source_type,source_id,usage_type,source_filename,validation_status,notes
site_identity,site_logo,site_identity,,MISSING,no source attachment found
page,629,page_image,2025/12/IMG_9312-600x600.jpeg,BROKEN,content reference has no matching attachment record
product_body,16460,product_body_content,2025/12/IMG_9312-300x231.jpeg,BROKEN,content reference has no matching attachment record
product_body,16529,product_body_content,2025/12/C187E91A-0A8E-4EDA-BD94-041C61445588_4_5005_c.jpeg,BROKEN,content reference has no matching attachment record
product_body,16971,product_body_content,2025/12/IMG_9624-225x300.webp,BROKEN,content reference has no matching attachment record
product_body,20187,product_body_content,2024/07/1.svg,BROKEN,content reference has no matching attachment record
product_body,20187,product_body_content,2024/07/icon_spray-2.svg,BROKEN,content reference has no matching attachment record
product_body,20187,product_body_content,2024/07/icon_spray-3.svg,BROKEN,content reference has no matching attachment record
product_body,20187,product_body_content,2024/07/icon_spray-4.svg,BROKEN,content reference has no matching attachment record
