product_id,variation_id,term_id,attachment_id,usage_type,target_filename
106,,,4008,product_featured,product-4008-wynkkk-beauty-20-in-1-lashes.jpeg
106,,,4008,product_featured,product-4008-wynkkk-beauty-20-in-1-lashes-02.jpeg
268,,,1160,product_featured,product-1160-cosrx-salicylic-gentle-cleanser-150ml.jpg
269,,,1161,product_featured,product-1161-cosrx-low-ph-gel-cleanser-150ml.jpg
271,,,1163,product_featured,product-1163-cosrx-oil-free-moisturizer-100ml.jpg
291,,,1171,product_featured,product-1171-beauty-of-joseon-cleansing-oil-210ml.jpg
290,,,1175,product_featured,product-1175-beauty-of-joseon-glow-serum-30ml.webp
289,,,1176,product_featured,product-1176-missha-essence-sunscreen-50ml.webp
287,,,1177,product_featured,product-1177-axis-y-dark-spot-correcting-serum.jpg
285,,,1178,product_featured,product-1178-isntree-fresh-emulsion.webp
284,,,1179,product_featured,product-1179-isntree-hyaluronic-sunstick.jpg
283,,,1180,product_featured,product-1180-isntree-green-tea-fresh-toner.webp
281,,,1182,product_featured,product-1182-isntree-hyaluronic-acid-toner.webp
282,,,1181,product_featured,product-1181-isntree-hyaluronic-acid-toner-plus.jpg
280,,,1183,product_featured,product-1183-isntree-hyaluronic-watery-sun-gel-50ml.jpg
265,,,1184,product_featured,product-1184-cosrx-bha-black-head-power-liquid-100ml.webp
263,,,1186,product_featured,product-1186-cosrx-snail-92-all-in-one-cream-100g.jpg
262,,,1187,product_featured,product-1187-cosrx-snail-mucin-essence-100ml.jpg
261,,,1188,product_featured,product-1188-cosrx-dual-essence.jpg
260,,,1189,product_featured,product-1189-cosrx-propolis-synergy-toner-150ml.jpg
259,,,1190,product_featured,product-1190-good-molecules-discoloration-serum-30ml.jpg
258,,,1192,product_featured,product-1192-good-molecules-niacinamide-brightening-toner-30ml.webp
257,,,1193,product_featured,product-1193-good-molecules-niacinamide-brightening-toner-120ml.jpg
256,,,1194,product_featured,product-1194-good-molecules-gentle-retinol-cream-30ml.webp
255,,,1195,product_featured,product-1195-good-molecules-overnight-treatment-30ml.jpg
254,,,1196,product_featured,product-1196-good-molecules-niacinamide-serum-30ml.jpg
253,,,1197,product_featured,product-1197-good-molecules-daily-brightening-serum-30ml.jpg
252,,,1198,product_featured,product-1198-nivea-uv-water-gel-sunscreen-140g.webp
250,,,1199,product_featured,product-1199-medix-5-5-retinol-cream-15floz-144m.webp
251,,,1200,product_featured,product-1200-hatomugi-sunscreen-250ml.jpg
249,,,1201,product_featured,product-1201-medix-5-5-vitamin-c-serum.jpg
248,,,4726,product_featured,product-4726-medix-5-5-vitamin-c-cream-15floz-144.jpeg
247,,,8681,product_featured,product-8681-amlactin-daily-moisturizing-lotion-567g.jpg
246,,,7790,product_featured,product-7790-amlactin-daily-moisturizing-improved-formula-scent-free.jpg
244,,,15179,product_featured,product-15179-amlactin-intensive-healing-lotion.webp
243,,,1207,product_featured,product-1207-medi-peel-vitamin-c-lotion.jpg
239,,,1209,product_featured,product-1209-dr-teals-citrus-sugar-scrub-19oz-538ml.jpg
240,,,1210,product_featured,product-1210-dr-teals-shea-butter-almond-oil-scrub-19oz-538ml.jpg
166,,,1211,product_featured,product-1211-msmetics-aqua-grip-primer-15ml.jpg
237,,,1215,product_featured,product-1215-dr-teals-vitamin-c-body-wash-24fl-710ml.jpg
236,,,1216,product_featured,product-1216-dr-teals-vitamin-c-lotion-18fl-oz-532ml.jpg
235,,,1217,product_featured,product-1217-touch-ingrown-hair-roll-on.webp
234,,,1218,product_featured,product-1218-touch-bright-and-clear-cream-2-oz-56-7.webp
233,,,1219,product_featured,product-1219-touch-acne-treatment-gel.jpg
232,,,1220,product_featured,product-1220-touch-kp-exfoliating-lotion.webp
231,,,1221,product_featured,product-1221-touch-kp-exfoliating-wash-8floz-237ml.png
227,,,8667,product_featured,product-8667-olay-vitamin-c-brightening-lotion-17floz-502ml.jpeg
227,,,8666,product_gallery,product-8666-olay-vitamin-c-brightening-lotion-17floz-502ml-02.jpeg
227,,,8668,product_gallery,product-8668-olay-vitamin-c-brightening-lotion-17floz-502ml-03.jpeg
226,,,19761,product_featured,product-19761-olay-retinol-body-wash-20floz-591ml.webp
224,,,1228,product_featured,product-1228-olay-vitamin-c-hydrating-body-wash-20fl-oz-591ml.jpg
223,,,1229,product_featured,product-1229-olay-shea-butter-body-wash-17floz-502ml.jpg
220,,,1232,product_featured,product-1232-olay-itch-dry-skin-body-wash-20fl-oz-591ml.jpg
180,,,1237,product_featured,product-1237-sooo-pro-hydrating-mist-setting-spray-150ml.jpg
182,,,1239,product_featured,product-1239-juba-cosmetics-setting-spray-150ml.jpg
183,,,1240,product_featured,product-1240-omaricode-bedew-hydrating-serum-30ml.jpeg
184,,,1241,product_featured,product-1241-omaricode-hydrating-moisture-maximize-50ml.jpg
187,,,1243,product_featured,product-1243-rummel-stay-matte-spray.jpg
188,,,1244,product_featured,product-1244-rimmel-stay-matte-primer.webp
189,,,1245,product_featured,product-1245-skin-by-zaron-vitamin-c-brightening-body-wash.jpg
190,,,1246,product_featured,product-1246-skin-by-zaron-micellar-cleansing-water.jpg
191,,,1247,product_featured,product-1247-skin-by-zaron-papaya-brightening-body-wash.jpg
192,,,13900,product_featured,product-13900-skin-by-zaron-brightening-toner.webp
193,,,1249,product_featured,product-1249-skin-by-zaron-vitamin-brightening-lotion.jpg
194,,,1250,product_featured,product-1250-skin-by-zaron-retinol-serum.jpg
195,,,1251,product_featured,product-1251-skin-by-zaron-vitamin-c-serum.jpg
196,,,7780,product_featured,product-7780-skin-by-zaron-exfoliating-amp-brightening-face-wash.webp
197,,,1253,product_featured,product-1253-skin-by-zaron-acne-control-glow-wash.webp
199,,,1254,product_featured,product-1254-zaron-long-wear-gel-eyeliner.jpg
200,,,1255,product_featured,product-1255-zaron-slain-regenerating-hydrating-serum.jpg
201,,,1256,product_featured,product-1256-zaron-lengthening-mascara.jpg
202,,,1257,product_featured,product-1257-zaron-4in1mascara.jpg
208,,,1258,product_featured,product-1258-wynkkk-beauty-lashes-at-first-sight-16ml.jpg
207,,,1259,product_featured,product-1259-wynkkk-beauty-single-lashes.jpg
214,,,1262,product_featured,product-1262-led-600-pro-with-tripod-stand.webp
213,,,1263,product_featured,product-1263-yn216-led-light.jpg
204,,,1267,product_featured,product-1267-zaron-sheer-powder-brush.jpg
218,,,1269,product_featured,product-1269-pvc-bag.jpg
203,,,1273,product_featured,product-1273-zaron-liquid-eyeliner.jpg
92,,,1427,product_featured,product-1427-omaricode-lip-moisturizing-oil.webp
91,,,1423,product_featured,product-1423-omaricode-hydrating-face-primer-30ml.webp
1424,,,1426,product_featured,product-1426-omaricode-matte-o-clock-primer-30ml.webp
90,,,1433,product_featured,product-1433-omaricode-skin-mist-100ml.jpg
165,,,1512,product_featured,product-1512-msmetics-moisture-potion-50ml.webp
164,,,1513,product_featured,product-1513-msmetics-moisture-bomb-50ml.webp
162,,,1515,product_featured,product-1515-hegai-esther-makeup-seal-it.jpg
161,,,1516,product_featured,product-1516-hegai-esther-flash-pan-highlighter-palette.jpeg
